,0,1,2,3
msfem.coarse.assemble_avg_wall_speedup,1.0,1.999,3.999,8.008
msfem.coarse.assemble_avg_wall_parallel_efficiency,1.0,0.9995,0.99975,1.001
msfem.coarse.assemble_avg_wall_abspart,0.393,0.321,0.219,0.097
msfem.coarse.assemble_avg_wall_wallpart,0.393,0.321,0.219,0.097
msfem.coarse.assemble_max_usr_threadeff,0.998,0.998,0.998,0.998
msfem.coarse.assemble_avg_usr_threadeff,0.998,0.998,0.998,0.998
msfem.all_max_usr_speedup,1.0,1.899,3.476,5.388
msfem.all_max_usr_parallel_efficiency,1.0,0.9495,0.869,0.6735
msfem.all_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_max_usr_wallpart,0.804,0.691,0.511,0.295
msfem.all_avg_usr_speedup,1.0,1.927,3.807,7.185
msfem.all_avg_usr_parallel_efficiency,1.0,0.9635,0.95175,0.898125
msfem.all_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_usr_wallpart,0.795,0.673,0.464,0.219
msfem.all_max_sys_speedup,1.0,1.46,0.672,0.511
msfem.all_max_sys_parallel_efficiency,1.0,0.73,0.168,0.063875
msfem.all_max_sys_abspart,1.0,1.0,1.0,1.0
msfem.all_max_sys_wallpart,0.025,0.028,0.082,0.096
msfem.all_avg_sys_speedup,1.0,1.742,1.035,1.018
msfem.all_avg_sys_parallel_efficiency,1.0,0.871,0.25875,0.12725
msfem.all_avg_sys_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_sys_wallpart,0.01,0.01,0.022,0.02
msfem.all_max_wall_speedup,1.0,1.632,2.211,1.98
msfem.all_max_wall_parallel_efficiency,1.0,0.816,0.55275,0.2475
msfem.all_max_wall_abspart,1.0,1.0,1.0,1.0
msfem.all_max_wall_wallpart,1.0,1.0,1.0,1.0
msfem.all_avg_wall_speedup,1.0,1.63,2.221,1.979
msfem.all_avg_wall_parallel_efficiency,1.0,0.815,0.55525,0.247375
msfem.all_avg_wall_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_wall_wallpart,1.0,1.0,1.0,1.0
msfem.all_max_usr_threadeff,0.804,0.691,0.511,0.295
msfem.all_avg_usr_threadeff,0.795,0.673,0.464,0.219
msfem.algorithm_max_usr_speedup,1.0,1.899,3.476,5.388
msfem.algorithm_max_usr_parallel_efficiency,1.0,0.9495,0.869,0.6735
msfem.algorithm_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_wallpart,0.804,0.691,0.511,0.295
msfem.algorithm_avg_usr_speedup,1.0,1.927,3.807,7.185
msfem.algorithm_avg_usr_parallel_efficiency,1.0,0.9635,0.95175,0.898125
msfem.algorithm_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_usr_wallpart,0.795,0.673,0.464,0.219
msfem.algorithm_max_sys_speedup,1.0,1.46,0.672,0.511
msfem.algorithm_max_sys_parallel_efficiency,1.0,0.73,0.168,0.063875
msfem.algorithm_max_sys_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_sys_wallpart,0.025,0.028,0.082,0.096
msfem.algorithm_avg_sys_speedup,1.0,1.742,1.035,1.018
msfem.algorithm_avg_sys_parallel_efficiency,1.0,0.871,0.25875,0.12725
msfem.algorithm_avg_sys_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_sys_wallpart,0.01,0.01,0.022,0.02
msfem.algorithm_max_wall_speedup,1.0,1.632,2.211,1.98
msfem.algorithm_max_wall_parallel_efficiency,1.0,0.816,0.55275,0.2475
msfem.algorithm_max_wall_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_wall_wallpart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_speedup,1.0,1.63,2.221,1.979
msfem.algorithm_avg_wall_parallel_efficiency,1.0,0.815,0.55525,0.247375
msfem.algorithm_avg_wall_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_wallpart,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_threadeff,0.804,0.691,0.511,0.295
msfem.algorithm_avg_usr_threadeff,0.795,0.673,0.464,0.219
msfem.setup.problem_max_usr_speedup,1.0,1.0,1.0,1.0
msfem.setup.problem_max_usr_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.setup.problem_max_usr_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_speedup,1.0,2.0,1.0,0.485
msfem.setup.problem_avg_usr_parallel_efficiency,1.0,1.0,0.25,0.060625
msfem.setup.problem_avg_usr_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.setup.problem_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
