,0,1,2
msfem.algorithm_max_wall_speedup,1.0,1.777,1.773
msfem.algorithm_max_wall_parallel_efficiency,1.0,0.8885,0.44325
msfem.algorithm_max_wall_abspart,1.0,1.0,1.0
msfem.algorithm_max_wall_wallpart,1.0,1.0,1.0
msfem.algorithm_avg_wall_speedup,1.0,1.779,1.777
msfem.algorithm_avg_wall_parallel_efficiency,1.0,0.8895,0.44425
msfem.algorithm_avg_wall_abspart,1.0,1.0,1.0
msfem.algorithm_avg_wall_wallpart,1.0,1.0,1.0
msfem.algorithm_max_usr_threadeff,0.952,0.88,0.568
msfem.algorithm_avg_usr_threadeff,0.942,0.844,0.503
msfem.coarse.assemble_max_usr_speedup,1.0,1.988,3.477
msfem.coarse.assemble_max_usr_parallel_efficiency,1.0,0.994,0.86925
msfem.coarse.assemble_max_usr_abspart,0.568,0.548,0.485
msfem.coarse.assemble_max_usr_wallpart,0.54,0.483,0.276
msfem.coarse.assemble_avg_usr_speedup,1.0,1.997,4.002
msfem.coarse.assemble_avg_usr_parallel_efficiency,1.0,0.9985,1.0005
msfem.coarse.assemble_avg_usr_abspart,0.553,0.55,0.461
msfem.coarse.assemble_avg_usr_wallpart,0.522,0.464,0.232
msfem.coarse.assemble_max_sys_speedup,1.0,1.25,1.25
msfem.coarse.assemble_max_sys_parallel_efficiency,1.0,0.625,0.3125
msfem.coarse.assemble_max_sys_abspart,0.02,0.027,0.036
msfem.coarse.assemble_max_sys_wallpart,0.0,0.0,0.0
msfem.coarse.assemble_avg_sys_speedup,1.0,2.237,4.888
msfem.coarse.assemble_avg_sys_parallel_efficiency,1.0,1.1185,1.222
msfem.coarse.assemble_avg_sys_abspart,0.007,0.005,0.004
msfem.coarse.assemble_avg_sys_wallpart,0.0,0.0,0.0
msfem.coarse.assemble_max_wall_speedup,1.0,1.988,3.477
msfem.coarse.assemble_max_wall_parallel_efficiency,1.0,0.994,0.86925
msfem.coarse.assemble_max_wall_abspart,0.541,0.484,0.276
msfem.coarse.assemble_max_wall_wallpart,0.541,0.484,0.276
msfem.coarse.assemble_avg_wall_speedup,1.0,1.997,4.002
msfem.coarse.assemble_avg_wall_parallel_efficiency,1.0,0.9985,1.0005
msfem.coarse.assemble_avg_wall_abspart,0.523,0.466,0.232
msfem.coarse.assemble_avg_wall_wallpart,0.523,0.466,0.232
msfem.coarse.assemble_max_usr_threadeff,0.998,0.998,0.998
msfem.coarse.assemble_avg_usr_threadeff,0.998,0.998,0.998
msfem.all_max_usr_speedup,1.0,1.922,2.973
msfem.all_max_usr_parallel_efficiency,1.0,0.961,0.74325
msfem.all_max_usr_abspart,1.0,1.0,1.0
msfem.all_max_usr_wallpart,0.952,0.88,0.568
msfem.all_avg_usr_speedup,1.0,1.986,3.333
msfem.all_avg_usr_parallel_efficiency,1.0,0.993,0.83325
msfem.all_avg_usr_abspart,1.0,1.0,1.0
msfem.all_avg_usr_wallpart,0.942,0.844,0.503
msfem.all_max_sys_speedup,1.0,1.647,2.205
msfem.all_max_sys_parallel_efficiency,1.0,0.8235,0.55125
msfem.all_max_sys_abspart,1.0,1.0,1.0
msfem.all_max_sys_wallpart,0.006,0.006,0.005
msfem.all_avg_sys_speedup,1.0,1.77,2.75
msfem.all_avg_sys_parallel_efficiency,1.0,0.885,0.6875
msfem.all_avg_sys_abspart,1.0,1.0,1.0
msfem.all_avg_sys_wallpart,0.005,0.005,0.003
msfem.all_max_wall_speedup,1.0,1.777,1.773
msfem.all_max_wall_parallel_efficiency,1.0,0.8885,0.44325
msfem.all_max_wall_abspart,1.0,1.0,1.0
msfem.all_max_wall_wallpart,1.0,1.0,1.0
msfem.all_avg_wall_speedup,1.0,1.779,1.777
msfem.all_avg_wall_parallel_efficiency,1.0,0.8895,0.44425
msfem.all_avg_wall_abspart,1.0,1.0,1.0
msfem.all_avg_wall_wallpart,1.0,1.0,1.0
msfem.all_max_usr_threadeff,0.952,0.88,0.568
msfem.all_avg_usr_threadeff,0.942,0.844,0.503
msfem.setup.problem_max_usr_speedup,1.0,1.0,1.0
msfem.setup.problem_max_usr_parallel_efficiency,1.0,0.5,0.25
msfem.setup.problem_max_usr_abspart,0.0,0.0,0.0
msfem.setup.problem_max_usr_wallpart,0.0,0.0,0.0
msfem.setup.problem_avg_usr_speedup,1.0,1.52,0.415
msfem.setup.problem_avg_usr_parallel_efficiency,1.0,0.76,0.10375
msfem.setup.problem_avg_usr_abspart,0.0,0.0,0.0
msfem.setup.problem_avg_usr_wallpart,0.0,0.0,0.0
msfem.setup.problem_max_sys_speedup,1.0,1.0,1.0
msfem.setup.problem_max_sys_parallel_efficiency,1.0,0.5,0.25
msfem.setup.problem_max_sys_abspart,0.004,0.007,0.009
msfem.setup.problem_max_sys_wallpart,0.0,0.0,0.0
msfem.setup.problem_avg_sys_speedup,1.0,0.952,0.851
msfem.setup.problem_avg_sys_parallel_efficiency,1.0,0.476,0.21275
msfem.setup.problem_avg_sys_abspart,0.0,0.0,0.0
msfem.setup.problem_avg_sys_wallpart,0.0,0.0,0.0
msfem.setup.problem_max_wall_speedup,,,
msfem.setup.problem_max_wall_parallel_efficiency,,,
msfem.setup.problem_max_wall_abspart,0.0,0.0,0.0
msfem.setup.problem_max_wall_wallpart,0.0,0.0,0.0
msfem.setup.problem_avg_wall_speedup,,,
msfem.setup.problem_avg_wall_parallel_efficiency,,,
msfem.setup.problem_avg_wall_abspart,0.0,0.0,0.0
msfem.setup.problem_avg_wall_wallpart,0.0,0.0,0.0
msfem.setup.problem_max_usr_threadeff,inf,inf,inf
msfem.setup.problem_avg_usr_threadeff,inf,inf,inf
