,0,1,2,3
proxy.add_avg_usr_wallpart,0.027,0.022,0.014,0.006
proxy.add_max_sys_speedup,1.0,1.0,1.0,1.0
proxy.add_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
proxy.add_max_sys_abspart,0.008,0.011,0.018,0.029
proxy.add_max_sys_wallpart,0.0,0.0,0.0,0.0
proxy.add_avg_sys_speedup,1.0,1.904,3.851,8.507
proxy.add_avg_sys_parallel_efficiency,1.0,0.952,0.96275,1.063375
proxy.add_avg_sys_abspart,0.003,0.003,0.002,0.002
proxy.add_avg_sys_wallpart,0.0,0.0,0.0,0.0
proxy.add_max_wall_speedup,1.0,1.923,3.429,6.075
proxy.add_max_wall_parallel_efficiency,1.0,0.9615,0.85725,0.759375
proxy.add_max_wall_abspart,0.03,0.025,0.018,0.009
proxy.add_max_wall_wallpart,0.03,0.025,0.018,0.009
proxy.add_avg_wall_speedup,1.0,1.999,4.009,8.095
proxy.add_avg_wall_parallel_efficiency,1.0,0.9995,1.00225,1.011875
proxy.add_avg_wall_abspart,0.027,0.022,0.014,0.006
proxy.add_avg_wall_wallpart,0.027,0.022,0.014,0.006
proxy.add_max_usr_threadeff,0.997,0.997,0.996,0.998
proxy.add_avg_usr_threadeff,0.997,0.997,0.997,0.998
msfem.coarse.solve_max_usr_speedup,1.0,1.25,1.25,1.25
msfem.coarse.solve_max_usr_parallel_efficiency,1.0,0.625,0.3125,0.15625
msfem.coarse.solve_max_usr_abspart,0.0,0.0,0.001,0.001
msfem.coarse.solve_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_usr_speedup,1.0,1.487,1.484,1.497
msfem.coarse.solve_avg_usr_parallel_efficiency,1.0,0.7435,0.371,0.187125
msfem.coarse.solve_avg_usr_abspart,0.0,0.0,0.0,0.001
msfem.coarse.solve_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.coarse.solve_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.coarse.solve_max_sys_abspart,0.008,0.011,0.018,0.029
msfem.coarse.solve_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_sys_speedup,1.0,1.063,1.011,1.029
msfem.coarse.solve_avg_sys_parallel_efficiency,1.0,0.5315,0.25275,0.128625
msfem.coarse.solve_avg_sys_abspart,0.001,0.002,0.003,0.006
msfem.coarse.solve_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_wall_speedup,1.0,1.386,1.366,1.386
msfem.coarse.solve_max_wall_parallel_efficiency,1.0,0.693,0.3415,0.17325
msfem.coarse.solve_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_wall_speedup,1.0,1.405,1.367,1.386
msfem.coarse.solve_avg_wall_parallel_efficiency,1.0,0.7025,0.34175,0.17325
msfem.coarse.solve_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_usr_threadeff,1.031,1.143,1.127,1.143
msfem.coarse.solve_avg_usr_threadeff,0.901,0.852,0.83,0.834
msfem.setup.grid_max_usr_speedup,1.0,0.131,0.185,0.148
msfem.setup.grid_max_usr_parallel_efficiency,1.0,0.0655,0.04625,0.0185
msfem.setup.grid_max_usr_abspart,0.011,0.144,0.171,0.338
msfem.setup.grid_max_usr_wallpart,0.01,0.131,0.119,0.133
msfem.setup.grid_avg_usr_speedup,1.0,0.081,0.059,0.135
msfem.setup.grid_avg_usr_parallel_efficiency,1.0,0.0405,0.01475,0.016875
msfem.setup.grid_avg_usr_abspart,0.002,0.039,0.088,0.077
msfem.setup.grid_avg_usr_wallpart,0.002,0.032,0.056,0.022
msfem.setup.grid_max_sys_speedup,1.0,0.128,0.154,0.231
msfem.setup.grid_max_sys_parallel_efficiency,1.0,0.064,0.0385,0.028875
msfem.setup.grid_max_sys_abspart,0.023,0.25,0.342,0.371
msfem.setup.grid_max_sys_wallpart,0.0,0.002,0.002,0.001
msfem.setup.grid_avg_sys_speedup,1.0,0.331,0.26,0.455
msfem.setup.grid_avg_sys_parallel_efficiency,1.0,0.1655,0.065,0.056875
msfem.setup.grid_avg_sys_abspart,0.011,0.057,0.113,0.116
msfem.setup.grid_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.grid_max_wall_speedup,1.0,0.416,0.282,0.142
msfem.setup.grid_max_wall_parallel_efficiency,1.0,0.208,0.0705,0.01775
msfem.setup.grid_max_wall_abspart,0.054,0.214,0.408,0.719
msfem.setup.grid_max_wall_wallpart,0.054,0.214,0.408,0.719
msfem.setup.grid_avg_wall_speedup,1.0,0.419,0.282,0.142
msfem.setup.grid_avg_wall_parallel_efficiency,1.0,0.2095,0.0705,0.01775
msfem.setup.grid_avg_wall_abspart,0.055,0.213,0.409,0.722
msfem.setup.grid_avg_wall_wallpart,0.055,0.213,0.409,0.722
msfem.setup.grid_max_usr_threadeff,0.192,0.61,0.293,0.185
msfem.setup.grid_avg_usr_threadeff,0.029,0.149,0.137,0.03
msfem.Elliptic_MsFEM_Solver.apply_max_usr_speedup,1.0,1.974,3.399,6.657
msfem.Elliptic_MsFEM_Solver.apply_max_usr_parallel_efficiency,1.0,0.987,0.84975,0.832125
msfem.Elliptic_MsFEM_Solver.apply_max_usr_abspart,0.99,0.859,0.838,0.675
msfem.Elliptic_MsFEM_Solver.apply_max_usr_wallpart,0.939,0.779,0.585,0.265
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_speedup,1.0,1.975,3.422,6.739
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_parallel_efficiency,1.0,0.9875,0.8555,0.842375
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_abspart,0.998,0.961,0.912,0.923
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_wallpart,0.939,0.779,0.581,0.262
msfem.Elliptic_MsFEM_Solver.apply_max_sys_speedup,1.0,1.776,2.61,4.424
msfem.Elliptic_MsFEM_Solver.apply_max_sys_parallel_efficiency,1.0,0.888,0.6525,0.553
msfem.Elliptic_MsFEM_Solver.apply_max_sys_abspart,0.992,0.782,0.877,0.843
