,0,1,2,3
msfem.coarse.assemble_avg_usr_speedup,1.0,2.001,4.002,8.006
msfem.coarse.assemble_avg_usr_parallel_efficiency,1.0,1.0005,1.0005,1.00075
msfem.coarse.assemble_avg_usr_abspart,0.495,0.469,0.469,0.291
msfem.coarse.assemble_avg_usr_wallpart,0.398,0.267,0.116,0.038
msfem.coarse.assemble_max_sys_speedup,1.0,1.5,0.75,0.75
msfem.coarse.assemble_max_sys_parallel_efficiency,1.0,0.75,0.1875,0.09375
msfem.coarse.assemble_max_sys_abspart,0.048,0.047,0.138,0.129
msfem.coarse.assemble_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_avg_sys_speedup,1.0,1.876,3.034,5.471
msfem.coarse.assemble_avg_sys_parallel_efficiency,1.0,0.938,0.7585,0.683875
msfem.coarse.assemble_avg_sys_abspart,0.017,0.016,0.018,0.012
msfem.coarse.assemble_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.assemble_max_wall_speedup,1.0,1.933,3.947,5.883
msfem.coarse.assemble_max_wall_parallel_efficiency,1.0,0.9665,0.98675,0.735375
msfem.coarse.assemble_max_wall_abspart,0.44,0.307,0.13,0.058
msfem.coarse.assemble_max_wall_wallpart,0.44,0.307,0.13,0.058
msfem.coarse.assemble_avg_wall_speedup,1.0,2.001,4.001,8.006
msfem.coarse.assemble_avg_wall_parallel_efficiency,1.0,1.0005,1.00025,1.00075
msfem.coarse.assemble_avg_wall_abspart,0.399,0.268,0.116,0.038
msfem.coarse.assemble_avg_wall_wallpart,0.399,0.268,0.116,0.038
msfem.coarse.assemble_max_usr_threadeff,0.998,0.998,0.998,0.997
msfem.coarse.assemble_avg_usr_threadeff,0.998,0.998,0.997,0.998
msfem.all_max_usr_speedup,1.0,1.641,2.396,2.36
msfem.all_max_usr_parallel_efficiency,1.0,0.8205,0.599,0.295
msfem.all_max_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_max_usr_wallpart,0.845,0.695,0.413,0.276
msfem.all_avg_usr_speedup,1.0,1.894,3.786,4.7
msfem.all_avg_usr_parallel_efficiency,1.0,0.947,0.9465,0.5875
msfem.all_avg_usr_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_usr_wallpart,0.804,0.57,0.248,0.132
msfem.all_max_sys_speedup,1.0,1.442,2.138,2.0
msfem.all_max_sys_parallel_efficiency,1.0,0.721,0.5345,0.25
msfem.all_max_sys_abspart,1.0,1.0,1.0,1.0
msfem.all_max_sys_wallpart,0.006,0.006,0.003,0.002
msfem.all_avg_sys_speedup,1.0,1.751,3.135,3.657
msfem.all_avg_sys_parallel_efficiency,1.0,0.8755,0.78375,0.457125
msfem.all_avg_sys_abspart,1.0,1.0,1.0,1.0
msfem.all_avg_sys_wallpart,0.005,0.004,0.002,0.001
msfem.all_max_wall_speedup,1.0,1.349,1.17,0.77
msfem.all_max_wall_parallel_efficiency,1.0,0.6745,0.2925,0.09625
