,0,1,2,3
msfem.coarse.linearSolver_max_wall_abspart,0.495,0.47,0.395,0.597
msfem.coarse.linearSolver_max_wall_wallpart,0.495,0.47,0.395,0.597
msfem.coarse.linearSolver_avg_wall_scaleup,1.0,1.353,2.041,0.666
msfem.coarse.linearSolver_avg_wall_abspart,0.347,0.273,0.125,0.298
msfem.coarse.linearSolver_avg_wall_wallpart,0.347,0.273,0.125,0.298
msfem.coarse.linearSolver_max_usr_threadeff,0.991,0.991,0.998,0.999
msfem.coarse.linearSolver_avg_usr_threadeff,0.991,0.992,0.996,0.995
msfem.coarse.solve_max_usr_scaleup,1.0,1.119,0.924,0.471
msfem.coarse.solve_max_usr_abspart,0.51,0.52,0.412,0.615
msfem.coarse.solve_max_usr_wallpart,0.491,0.466,0.394,0.596
msfem.coarse.solve_avg_usr_scaleup,1.0,1.352,2.032,0.663
msfem.coarse.solve_avg_usr_abspart,0.373,0.308,0.139,0.33
msfem.coarse.solve_avg_usr_wallpart,0.344,0.271,0.124,0.296
msfem.coarse.solve_max_sys_scaleup,1.0,0.71,0.957,0.629
msfem.coarse.solve_max_sys_abspart,0.537,0.738,0.469,0.556
msfem.coarse.solve_max_sys_wallpart,0.004,0.006,0.003,0.004
msfem.coarse.solve_avg_sys_scaleup,1.0,1.461,3.885,1.194
msfem.coarse.solve_avg_sys_abspart,0.371,0.29,0.103,0.272
msfem.coarse.solve_avg_sys_wallpart,0.002,0.002,0.0,0.001
msfem.coarse.solve_max_wall_scaleup,1.0,1.119,0.931,0.474
msfem.coarse.solve_max_wall_abspart,0.495,0.47,0.395,0.597
msfem.coarse.solve_max_wall_wallpart,0.495,0.47,0.395,0.597
msfem.coarse.solve_avg_wall_scaleup,1.0,1.353,2.041,0.666
msfem.coarse.solve_avg_wall_abspart,0.347,0.273,0.125,0.298
msfem.coarse.solve_avg_wall_wallpart,0.347,0.273,0.125,0.298
msfem.coarse.solve_max_usr_threadeff,0.991,0.991,0.998,0.999
msfem.coarse.solve_avg_usr_threadeff,0.991,0.992,0.996,0.995
proxy.add_max_usr_scaleup,1.0,1.066,0.777,0.591
proxy.add_max_usr_abspart,0.03,0.032,0.028,0.028
proxy.add_max_usr_wallpart,0.028,0.028,0.027,0.027
proxy.add_avg_usr_scaleup,1.0,1.002,0.547,0.548
proxy.add_avg_usr_abspart,0.02,0.022,0.028,0.021
proxy.add_avg_usr_wallpart,0.019,0.02,0.025,0.019
proxy.add_max_sys_scaleup,1.0,1.0,0.5,1.0
proxy.add_max_sys_abspart,0.024,0.024,0.041,0.016
proxy.add_max_sys_wallpart,0.0,0.0,0.0,0.0
proxy.add_avg_sys_scaleup,1.0,1.094,1.162,1.142
proxy.add_avg_sys_abspart,0.005,0.005,0.005,0.004
proxy.add_avg_sys_wallpart,0.0,0.0,0.0,0.0
proxy.add_max_wall_scaleup,1.0,1.071,0.784,0.597
proxy.add_max_wall_abspart,0.029,0.028,0.027,0.027
proxy.add_max_wall_wallpart,0.029,0.028,0.027,0.027
proxy.add_avg_wall_scaleup,1.0,1.001,0.548,0.549
proxy.add_avg_wall_abspart,0.019,0.02,0.025,0.019
proxy.add_avg_wall_wallpart,0.019,0.02,0.025,0.019
proxy.add_max_usr_threadeff,0.99,0.995,0.999,1.0
proxy.add_avg_usr_threadeff,0.998,0.996,0.999,0.999
msfem.setup.problem_max_usr_scaleup,,0.0,0.0,0.0
msfem.setup.problem_max_usr_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_scaleup,,0.0,0.0,0.0
msfem.setup.problem_avg_usr_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_sys_scaleup,1.0,inf,inf,inf
msfem.setup.problem_max_sys_abspart,0.024,0.0,0.0,0.0
msfem.setup.problem_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_scaleup,1.0,inf,inf,inf
msfem.setup.problem_avg_sys_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_scaleup,,,,
msfem.setup.problem_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_scaleup,,,,
msfem.setup.problem_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.setup.problem_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.setup.problem_max_usr_threadeff,,inf,inf,inf
msfem.setup.problem_avg_usr_threadeff,,inf,inf,inf
msfem.idFine_max_usr_scaleup,1.0,1.12,0.808,0.609
msfem.idFine_max_usr_abspart,0.017,0.017,0.016,0.016
msfem.idFine_max_usr_wallpart,0.016,0.016,0.015,0.015
msfem.idFine_avg_usr_scaleup,1.0,0.999,0.559,0.556
msfem.idFine_avg_usr_abspart,0.011,0.013,0.015,0.012
msfem.idFine_avg_usr_wallpart,0.011,0.011,0.014,0.011
msfem.idFine_max_sys_scaleup,1.0,0.5,1.0,0.5
msfem.idFine_max_sys_abspart,0.024,0.048,0.02,0.032
msfem.idFine_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.idFine_avg_sys_scaleup,1.0,1.462,1.502,1.246
msfem.idFine_avg_sys_abspart,0.006,0.005,0.004,0.004
msfem.idFine_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.idFine_max_wall_scaleup,1.0,1.104,0.781,0.604
msfem.idFine_max_wall_abspart,0.016,0.016,0.015,0.015
msfem.idFine_max_wall_wallpart,0.016,0.016,0.015,0.015
msfem.idFine_avg_wall_scaleup,1.0,1.0,0.561,0.558
msfem.idFine_avg_wall_abspart,0.011,0.011,0.014,0.011
msfem.idFine_avg_wall_wallpart,0.011,0.011,0.014,0.011
msfem.idFine_max_usr_threadeff,1.005,0.991,0.971,0.996
msfem.idFine_avg_usr_threadeff,0.995,0.996,0.998,0.998
msfem.setup.grid_max_usr_scaleup,1.0,1.992,0.381,0.245
msfem.setup.grid_max_usr_abspart,0.048,0.027,0.094,0.111
msfem.setup.grid_max_usr_wallpart,0.046,0.025,0.09,0.108
